,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,Value,,,,,,,,,,,,
9986,7623,8254,8217,8132,8586,7330,9540,,,19526,14953,16840,16349,,38256,30443,32745,32680,,76512,61149,65645,64805,,,,1,0.000975419,0.293341137,0.238717649,,,100,1,29,24,,100,1,29,24,24,29,1,100,,,100,1,29,24,,,,100,100,,Row Labels,Count of Value,,,,,,,,,
7261,7851,7602,8338,7840,7964,7449,7717,,,14978,15300,15566,16178,,30706,30567,31136,32132,,,61134,62974,63877,,,,,0,0.11965145,0.1783717,,,,1,12,18,,1,1,12,18,18,12,1,1,,,1,1,12,18,,,,1,1,,1,12,,,,,,,,1,12
8262,7974,8245,7447,8403,7894,8365,8381,,,16643,16339,16139,15850,,32900,31838,32478,31960,,,,64956,63807,,,,,,0.248536871,0.173819742,,,,,25,17,,29,12,25,17,17,25,12,29,,,29,12,25,17,,,,29.33411367,29,,12,8,,,,,,,,12,8
7680,8004,7809,N/A,N/A,7983,7844,8143,,,15823,15848,15792,#VALUE!,,32125,31745,31847,#VALUE!,,,,,N/A,,,,,,,,,,,,,N/A,,24,18,17,N/A,N/A,17,18,24,,,24,18,17,#VALUE!,,,,23.87176486,24,,17,8,,,,,,,,17,8
8165,7808,8305,N/A,N/A,7750,8089,8137,,,16302,15897,16055,#VALUE!,,,,,,,,,,,,,,,1,,,,,,,,,,24,18,17,N/A,N/A,17,18,24,,,,,,,,,,23.87176486,24,,18,8,,,,,,,,18,8
8069,7661,7887,8303,7807,8452,7838,8188,,,16257,15499,16339,16110,,,,,,,,,,,,,,,,,,,,,,,,,29,12,25,17,17,25,12,29,,,,,,,,,,29.33411367,29,,24,8,,,,,,,,24,8
8040,7940,7903,7691,8263,7667,7327,7688,,,15728,15267,15570,15954,,,,,,,,,,,,,,,,,,,,,,,,,1,1,12,18,18,12,1,1,,,,,,,,,,1,1,,25,4,,,,,,,,25,4
9290,7585,8067,8310,8021,7838,7905,9440,,,18730,15490,15905,16331,,,,,,,76512,61134,,,,,,,0.000975419,,,,,,,,,,100,1,29,24,24,29,1,100,,,,,,,,,,100,100,,29,8,,,,,,,,29,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,100,4,,,,,,,,100,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,Grand Total,60,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96514501,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83716998,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83716998,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96514501,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33411367,29,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96514501,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85368709,25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38197425,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38197425,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.85368709,25,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.96514501,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33411367,29,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87176486,24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83716998,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38197425,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87176486,24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.83716998,18,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.38197425,17,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33411367,29,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87176486,24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.87176486,24,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.33411367,29,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,
